Rk,School,G,W▼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
119,Eastern Kentucky,30,17,13,0.567,-2.79,-3.64,,11,6,,10,3,,6,8,,2338,2249,,69,111,0.27,0.434,0.529,50,47.7,12.3,9.7,0.496,12,34,0.201
120,Elon,29,17,12,0.586,-1.9,-3.71,,8,8,,10,4,,6,7,,2139,1991,,66.5,110.5,0.392,0.422,0.55,55.2,48.8,8.2,11.8,0.507,15.8,38.3,0.29
121,Florida Gulf Coast,30,17,13,0.567,-1.75,-3.75,,12,5,,10,4,,7,9,,2176,2101,,65.7,110.4,0.236,0.386,0.559,52,51.3,8.5,7.6,0.54,13.9,29.6,0.164
122,Georgia,28,17,11,0.607,16.8,10.73,,5,10,,14,3,,1,7,,2108,1938,,68.8,109.4,0.393,0.365,0.559,52.6,49.6,11.4,14.9,0.523,16.4,36.3,0.282
123,Illinois State,30,17,13,0.567,2.04,0.28,,9,10,,11,4,,5,7,,2297,2191,,65.9,115.8,0.308,0.478,0.606,51,54,8.3,4.9,0.579,14,25.2,0.23
124,Jacksonville,29,17,12,0.586,-2.96,-2.89,,11,6,,9,3,,7,8,,2088,2056,,69,103.9,0.281,0.341,0.526,52,51.4,11.5,13.2,0.501,16.4,35.2,0.19
125,Longwood,29,17,12,0.586,-3.2,-4.36,,6,8,,12,3,,4,7,,2283,2132,,70.3,112,0.459,0.337,0.567,51.9,50.3,10.6,6.4,0.524,14.8,32.8,0.333
126,Mount St. Mary's,27,17,10,0.63,-8.29,-6.87,,10,6,,8,4,,9,6,,1931,1932,,68.6,102.4,0.339,0.403,0.546,52.6,60.5,9.4,8.5,0.51,18.8,32.1,0.248
127,Nebraska,28,17,11,0.607,13.95,10.48,,7,10,,10,4,,5,6,,2090,1993,,69.1,107,0.36,0.388,0.558,49.5,53.6,10.4,9.6,0.517,14.9,26.3,0.272
128,Oklahoma,27,17,10,0.63,14.2,9.94,,4,10,,11,4,,1,6,,2099,1984,,69.8,111.4,0.395,0.421,0.588,48.7,52.5,11.6,7.6,0.543,15.8,27.5,0.311
129,Princeton,26,17,9,0.654,-2.41,-2.2,,6,5,,8,4,,6,3,,1914,1862,,68.7,107.2,0.249,0.477,0.54,50.5,56.4,10.9,6.2,0.515,13.4,28.5,0.177
130,Quinnipiac,27,17,10,0.63,-4.7,-6.85,,13,3,,10,2,,7,8,,2003,1923,,71.9,102.8,0.307,0.379,0.522,54.3,52.2,12.2,13.1,0.482,15.5,33.7,0.233
